!!SBtab	TableName='Compound' TableType='Compound' TableTitle='CaMKIIs Compounds' SBtabVersion='1.0' Document='CaMKIIs'  Document='CaMKIIs'				
!ID	!Unit	!InitialValue	!IsConstant	!Type	!Location
CaM_Ca1	micromole/litre	0	FALSE	kinetic	synapse
CaM_Ca2	micromole/litre	0	FALSE	kinetic	synapse
CaM_Ca3	micromole/litre	0	FALSE	kinetic	synapse
CaM_Ca4	micromole/litre	0	FALSE	kinetic	synapse
PP2B_CaM	micromole/litre	0	FALSE	kinetic	synapse
PP2B_CaM_Ca1	micromole/litre	0	FALSE	kinetic	synapse
PP2B_CaM_Ca2	micromole/litre	0	FALSE	kinetic	synapse
PP2B_CaM_Ca3	micromole/litre	0	FALSE	kinetic	synapse
PP2B_CaM_Ca4	micromole/litre	0	FALSE	kinetic	synapse
CaMKII_CaM	micromole/litre	0	FALSE	kinetic	synapse
CaMKII_CaM_Ca1	micromole/litre	0	FALSE	kinetic	synapse
CaMKII_CaM_Ca2	micromole/litre	0	FALSE	kinetic	synapse
CaMKII_CaM_Ca3	micromole/litre	0	FALSE	kinetic	synapse
CaMKII_CaM_Ca4	micromole/litre	0	FALSE	kinetic	synapse
pCaMKII_CaM_Ca4	micromole/litre	0	FALSE	kinetic	synapse
pCaMKIIa	micromole/litre	0	FALSE	kinetic	synapse
pCaMKII_CaM_Ca3	micromole/litre	0	FALSE	kinetic	synapse
pCaMKII_CaM_Ca2	micromole/litre	0	FALSE	kinetic	synapse
pCaMKII_CaM_Ca1	micromole/litre	0	FALSE	kinetic	synapse
pCaMKII_CaM	micromole/litre	0	FALSE	kinetic	synapse
PP1__pCaMKIIa	micromole/litre	0	FALSE	kinetic	synapse

